"Amount_Hours","Amount_Dollars","Payment_Date","Departament_id","Worked_Hours_Type_id"
411.45,13236.74,"20181117",11,1
149.3,3249.15,"20181117",11,2
552.77,18038.55,"20171118",11,1
50.85,1104.49,"20171118",11,2
418.6,13537.25,"20161119",11,1
104.5,2256.05,"20161119",11,2
384.49,12319.13,"20151121",11,1
76.63,1580.09,"20151121",11,2
366.75,11565.56,"20141122",11,1
43.8,931.21,"20141122",11,2
322.55,10106.91,"20131123",11,1
137.05,2849.71,"20131123",11,2
472.45,15479.74,"20181103",11,1
190.8,4180.62,"20181103",11,2
432.18,14008.89,"20171104",11,1
138.34,3057.66,"20171104",11,2
353.15,11129.97,"20161105",11,1
147.35,3169.3,"20161105",11,2
249.6,7820.82,"20151107",11,1
38.3,843.16,"20151107",11,2
248.25,7901.35,"20141108",11,1
71.5,1544.18,"20141108",11,2
403.95,12577.78,"20131109",11,1
65.5,1365.6,"20131109",11,2
392.9,12966.67,"20181201",11,1
161.8,3520.33,"20181201",11,2
517.3,17076.03,"20181215",11,1
198,4292.37,"20181215",11,2
431.77,14508.07,"20171216",11,1
119.25,2619.62,"20171216",11,2
634.35,20651.59,"20161217",11,1
170.2,3659.88,"20161217",11,2
458.1,14206.17,"20151219",11,1
108.25,2254.65,"20151219",11,2
570.8,18523.34,"20171202",11,1
94.29,2115.47,"20171202",11,2
374.2,11743.53,"20141220",11,1
132.03,2770.14,"20141220",11,2
491.3,15271.15,"20131221",11,1
160,3309.2,"20131221",11,2
415,13531.31,"20181229",11,1
190.9,4194.15,"20181229",11,2
560,18514.3,"20161203",11,1
258.65,5604.6,"20161203",11,2
621.05,20497.01,"20171230",11,1
109.5,2450.94,"20171230",11,2
603.85,19764.28,"20161231",11,1
198.15,4251.85,"20161231",11,2
407.15,13195.49,"20151205",11,1
69.4,1450.75,"20151205",11,2
369.6,12350.33,"20141206",11,1
81.54,1701.3,"20141206",11,2
373.05,11645.21,"20131207",11,1
134.95,2817.78,"20131207",11,2
275.45,8529.72,"20140201",11,1
62.55,1304.89,"20140201",11,2
549.65,18132.73,"20180210",11,1
164.2,3582.16,"20180210",11,2
358.43,11431.1,"20170211",11,1
164.75,3595.8,"20170211",11,2
263.55,8615.97,"20160213",11,1
31.55,666.77,"20160213",11,2
346.45,10866.54,"20150214",11,1
